"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"SHC1 events in EGFR signaling",0.997830753731865,1,0.743432963039314,0.39898864390683,0.847727839151324,0.603359691081916,1,0.893791978516752,1,1,1,0.878393140067727,1,1,1
"Serotonin Neurotransmitter Release Cycle",1,1,1,1,0.987912876564206,1,1,1,1,0.868510033018608,0.78162916325881,1,1,1,1
"Norepinephrine Neurotransmitter Release Cycle",1,1,1,1,1,1,1,1,1,0.890596497983972,0.706786043681112,1,1,1,1
"Toll Like Receptor 2 (TLR2) Cascade",0.940932010344607,0.339646813911794,1,0.376965122581572,0.242302113140462,0.668972612776339,1,1,1,1,1,1,0.954493579752265,1,0.846197253939858
"Organelle biogenesis and maintenance",1,0.0976239560723364,0.964408892706557,1,0.356577031028811,0.910301657275739,0.775585488653394,1,1,0.967205200610406,0.619903975564231,1,1,1,1
"Downstream signal transduction",0.940932010344607,1,0.882738466194612,0.123395020752065,0.74029836849407,0.555784227122832,1,0.893791978516752,0.91186803081779,1,0.844043273483812,0.528076998281222,1,1,0.873845754263471
"Signaling by PDGF",0.5841470459455,1,0.773214861140704,0.0373112438229437,0.85398578778521,0.603359691081916,1,0.905259637069578,0.824494520184627,1,1,0.339055911967636,1,1,0.997993985032256
"NGF signalling via TRKA from the plasma membrane",0.940932010344607,1,0.909741487500433,0.134701309305217,0.844095717948237,0.499971842338104,1,0.925437433641783,0.91186803081779,1,0.844043273483812,0.760719323942607,1,1,0.968567358537829
"Signalling to ERKs",1,1,0.773214861140704,0.403284544917717,0.871747959916181,0.622788496906004,1,0.911416956619709,1,1,0.844505669367197,0.960733109644068,1,1,1
"Signalling to p38 via RIT and RIN",1,1,0.743432963039314,0.355781094035586,0.822642171087943,0.603359691081916,1,0.893791978516752,1,1,1,0.907876771995574,1,1,1
"Signaling by FGFR",1,1,0.961218840334921,1,1,0.661038956919227,0.989806395752503,0.824712756849455,0.59871671662693,0.684006057386982,1,0.119326282205778,1,0.991230810375526,1
"Gap junction trafficking",1,0.363967075823762,1,1,0.89266329251819,0.963982519671052,1,1,1,0.866420295341354,0.582761002513537,1,1,1,0.97979499121199
"Gap junction assembly",1,0.522249225190377,1,1,0.683213626469586,1,1,1,1,0.866420295341354,0.704285606377593,1,1,1,0.960718660661103
"Transport of connexons to the plasma membrane",1,0.702432304614647,1,1,0.74029836849407,1,1,1,1,0.868510033018608,0.69311952964078,1,0.90383722780576,1,0.625533468692413
"Pre-NOTCH Expression and Processing",1,0.728026366763011,1,0.739555317297416,0.96085320480904,1,1,1,1,1,1,0.878393140067727,1,1,1
"Synthesis of bile acids and bile salts",1,0.729952575925856,0.882738466194612,0.516647811116799,1,1,1,0.905259637069578,1,1,1,0.609534033819601,0.985666389978113,0.742797979754849,1
"NRAGE signals death through JNK",1,1,1,1,1,0.715912522604352,1,1,1,0.868510033018608,0.485272259999085,0.331323421486994,1,0.708885641305938,1
"p75 NTR receptor-mediated signalling",1,1,1,1,1,0.855899978824717,1,1,1,0.792099193235908,0.437957100893629,0.174661086712757,1,0.712670419063609,1
"Bile acid and bile salt metabolism",1,0.634201956478999,0.882738466194612,0.417470976359934,1,1,1,0.972374006051492,1,1,1,0.671046172811527,1,0.734412573890908,0.873845754263471
"Signaling by VEGF",0.940932010344607,1,0.839839538536474,0.255726162547901,0.544500249465279,0.602041146936682,1,0.893791978516752,1,1,0.574047063031031,0.594551099220603,1,1,1
"Signaling by Rho GTPases",1,0.0226436377920799,0.22135595863837,1,0.0159765261823789,0.205759716265113,1,0.955524554317561,1,1,0.241443327748844,1,1,1,1
"Rho GTPase cycle",1,0.49753295611557,1,0.743741528612095,1,0.603359691081916,1,1,1,1,0.272249487542292,0.609534033819601,1,1,1
"RHO GTPase Effectors",1,0.0128581561600809,0.00667885118116261,1,7.67127279916771e-06,0.555784227122832,1,0.893791978516752,1,1,0.471441534919425,1,0.90383722780576,1,1
"Signaling by Wnt",0.950412296712533,1,0.773214861140704,1,8.90861729830553e-06,0.205759716265113,1,0.986911775219931,0.824494520184627,1,0.844043273483812,0.744437061529113,0.90383722780576,1,1
"Nicotinate metabolism",1,1,1,0.862904867187829,1,0.847425159257008,0.310944029445746,0.769953183166157,1,1,0.968770049745446,0.95180780689612,1,1,1
"Metabolism of water-soluble vitamins and cofactors",1,0.866807854085448,1,1,1,0.300792251803531,0.0329321972389641,0.893791978516752,1,1,0.99600148714089,0.35767486086663,1,1,0.819717440801677
"Metabolism of vitamins and cofactors",1,1,1,0.959810325870837,1,0.715912522604352,0.397723377142118,0.786856032801256,1,1,0.639284943180732,0.423859637884516,1,1,0.949519513860953
"A tetrasaccharide linker sequence is required for GAG synthesis",1,1,1,0.268476252614952,1,1,1,0.824712756849455,0.884366743114338,1,0.393916882470505,0.909321559266936,1,1,1
"Signaling by NOTCH1",1,0.75089915461288,1,1,0.683213626469586,0.993367437667977,1,1,1,1,1,0.139533474544063,1,1,1
"Signaling by NOTCH2",1,0.460172316626107,1,0.426833673564056,1,1,1,1,0.824494520184627,1,1,0.197089231826134,0.921043880078693,1,1
"PI3K/AKT activation",0.940932010344607,0.978551483194279,1,0.108497876529965,0.953662274658041,0.910301657275739,1,0.893791978516752,0.796871949106463,0.792099193235908,0.602152289055244,0.174661086712757,1,0.998595229168485,0.958815798743229
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.940932010344607,1,1,4.2613874207379e-29,1,0.32058723658566,0.341738901143868,0.911416956619709,8.4565268683992e-14,1,1,1,0.883090848639165,1,0.0087144063853776
"PPARA activates gene expression",1,1,0.963193503222277,0.529626452042809,0.955802078751421,0.991907600563311,1,0.893791978516752,0.843705189800094,1,1,1,1,1,0.809169761020064
"Negative regulation of the PI3K/AKT network",0.892848697518085,0.868862802522719,1,0.0940245332464872,1,0.844048085823033,1,0.774739432487997,0.547428705153775,0.741609784111952,0.707457376650431,0.138702432773949,1,1,1
"ER to Golgi Anterograde Transport",0.997830753731865,1,1,0.94091665260836,1,0.991907600563311,1,0.910280507812325,1,0.866420295341354,1,1,0.954493579752265,1,0.819717440801677
"Membrane Trafficking",0.980185103568674,1,0.963193503222277,0.582105922254184,1,1,1,1,1,1,0.735950418874728,1,1,0.998595229168485,1
"trans-Golgi Network Vesicle Budding",1,0.650655503833664,0.981023355875457,1,1,1,1,1,1,1,1,0.878393140067727,1,1,0.807532615088113
"Signaling by BMP",0.940932010344607,0.4916077539013,1,0.766713758167496,1,1,0.436399209614114,1,1,0.792099193235908,0.844043273483812,0.879610038663659,1,0.350650139220644,1
"TCF dependent signaling in response to WNT",1,0.751863687609476,0.773214861140704,1,1.18902039040591e-06,0.827897972890409,1,1,0.824494520184627,1,0.704366887421697,1,1,1,1
"Formation of the beta-catenin:TCF transactivating complex",0.940932010344607,0.303255577026029,1,1,9.00851011723787e-19,0.844048085823033,1,0.942052310398637,0.828769388003795,1,1,1,1,1,1
"G-protein activation",0.042651136007512,1,0.922964731713514,1,1,0.00646114940606456,0.828983251410714,0.943910294681127,1,1,1,0.599426441064694,0.90383722780576,1,0.968567358537829
"Metabolism of nitric oxide",1,0.708453550147941,0.882738466194612,1,0.571722655540592,1,0.463809251692115,1,1,1,0.844043273483812,0.763386898147005,0.893015721564875,1,1
"Assembly of collagen fibrils and other multimeric structures",0.940932010344607,0.465676930961987,1,0.244543028794436,1,1,1,1,0.828769388003795,0.866420295341354,0.938252777605883,0.250510772315026,1,0.274141460432458,1
"Keratan sulfate biosynthesis",1,0.590951888998947,0.00551363763867612,0.811108052738215,1,1,1,0.906061790908452,1,0.942035344306735,0.844043273483812,0.276346487765566,0.90383722780576,1,0.846197253939858
"Chondroitin sulfate biosynthesis",1,1,0.909741487500433,0.169738284719266,1,1,1,1,1,1,0.752114168540826,1,1,1,0.466432950667534
"HS-GAG biosynthesis",1,0.830935176008125,1,1,1,1,1,0.417602345374781,1,1,0.399573246891243,0.64559972471351,1,1,0.962090125973293
"TCR signaling",1,0.805551617546528,1,1.07050055065397e-15,1,1,0.820227355581602,0.893791978516752,1.79365307913222e-31,0.942035344306735,1,1,0.639656857864347,0.998595229168485,0.997993985032256
"HS-GAG degradation",1,1,1,1,1,1,1,0.445365196754344,1,1,0.337975282188905,0.382379701974531,1,1,1
"Downstream TCR signaling",1,0.819084300688895,1,2.00134090895928e-10,1,1,1,1,1.32664011448489e-22,1,1,1,0.150220235449917,1,1
